Time,Speed
119.7,4.0165
120.05,4.0165
120.4,4.0165
120.75,4.0165
121.1,4.0165
121.45,4.0165
121.8,4.0165
122.15,4.0165
122.5,4.0165
122.85,4.0165
123.2,4.0165
123.55,4.0165
123.9,4.0165
124.25,4.0165
124.6,4.0165
124.95,4.0165
125.3,4.0165
125.65,4.0165
126,4.0165
126.35,4.0165
126.7,4.0165
127.05,4.0165
127.4,4.0165
127.75,4.0165
128.1,4.0165
128.45,4.0165
128.8,4.0165
129.15,4.0165
129.5,4.0165
129.85,4.0165
130.2,4.0165
130.55,4.0165
130.9,4.0165
131.25,4.0165
131.6,4.0165
131.95,4.0165
132.3,4.0165
132.65,4.0165
133,4.0165
133.35,4.0165
133.7,4.0165
134.05,4.0165
134.4,4.0165
134.75,4.136995
135.1,4.265523
135.45,4.386018
135.8,4.514546
136.15,4.635041
136.5,4.755536
136.85,4.884064
137.2,5.004559
137.55,5.125054
137.9,5.253582
138.25,5.374077
138.6,5.502605
138.95,5.6231
139.3,5.6231
139.65,5.6231
140,5.6231
140.35,5.6231
140.7,5.6231
141.05,5.6231
141.4,5.6231
141.75,5.6231
142.1,5.6231
142.45,5.6231
142.8,5.6231
143.15,5.6231
143.5,5.6231
143.85,5.6231
144.2,5.6231
144.55,5.6231
144.9,5.6231
145.25,5.6231
145.6,5.6231
145.95,5.6231
146.3,5.6231
146.65,5.6231
147,5.6231
147.35,5.6231
147.7,5.6231
148.05,5.6231
148.4,5.6231
148.75,5.6231
149.1,5.6231
149.45,5.6231
149.8,5.6231
150.15,5.6231
150.5,5.6231
150.85,5.6231
151.2,5.6231
151.55,5.6231
151.9,5.6231
152.25,5.6231
152.6,5.6231
152.95,5.6231
153.3,5.6231
153.65,5.6231
154,5.6231
154.35,5.6231
154.7,5.6231
155.05,5.6231
155.4,5.6231
155.75,5.6231
156.1,5.6231
156.45,5.6231
156.8,5.695397
157.15,5.759661
157.5,5.831958
157.85,5.896222
158.2,5.968519
158.55,6.032783
158.9,6.10508
159.25,6.177377
159.6,6.241641
159.95,6.313938
160.3,6.378202
160.65,6.450499
161,6.514763
161.35,6.58706
161.7,6.659357
162.05,6.723621
162.4,6.795918
162.75,6.860182
163.1,6.932479
163.45,6.996743
163.8,7.06904
164.15,7.141337
164.5,7.205601
164.85,7.277898
165.2,7.342162
165.55,7.414459
165.9,7.478723
166.25,7.55102
166.6,7.623317
166.95,7.687581
167.3,7.759878
167.65,7.824142
168,7.896439
168.35,7.960703
168.7,8.033
169.05,8.033
169.4,8.033
169.75,8.033
170.1,8.033
170.45,8.033
170.8,8.033
171.15,8.033
171.5,8.033
171.85,8.033
172.2,8.033
172.55,8.033
172.9,8.033
173.25,8.033
173.6,8.033
173.95,8.033
174.3,8.033
174.65,8.033
175,8.033
175.35,8.033
175.7,8.033
176.05,8.033
176.4,8.033
176.75,8.033
177.1,8.033
177.45,8.033
177.8,8.033
178.15,8.033
178.5,8.033
178.85,8.033
179.2,8.033
179.55,8.11333
179.9,8.19366
180.25,8.27399
180.6,8.35432
180.95,8.43465
181.3,8.51498
181.65,8.59531
182,8.67564
182.35,8.75597
182.7,8.8363
183.05,8.91663
183.4,8.99696
183.75,9.07729
184.1,9.15762
184.45,9.23795
184.8,9.31828
185.15,9.39861
185.5,9.47894
185.85,9.55927
186.2,9.6396
186.55,9.6396
186.9,9.6396
187.25,9.6396
187.6,9.6396
187.95,9.6396
188.3,9.6396
188.65,9.6396
189,9.6396
189.35,9.6396
189.7,9.6396
190.05,9.438775
190.4,9.23795
190.75,9.037125
191.1,8.8363
191.45,8.635475
191.8,8.43465
192.15,8.233825
192.5,8.033
192.85,7.832175
193.2,7.63135
193.55,7.430525
193.9,7.2297
194.25,7.028875
194.6,6.82805
194.95,6.627225
195.3,6.4264
195.65,6.129179
196,5.823925
196.35,5.526704
196.7,5.22145
197.05,4.924229
197.4,4.618975
197.75,4.321754
198.1,4.0165
198.45,3.61485
198.8,3.2132
199.15,2.81155
199.5,2.4099
199.85,2.00825
200.2,1.6066
200.55,1.20495
200.9,0.8033
201.25,0.40165
201.6,0
201.95,0
202.3,0
202.65,0
203,0
203.35,0
203.7,0
204.05,0
204.4,0
204.75,0
205.1,0
205.45,0
205.8,0
206.15,0
206.5,0
206.85,0
207.2,0
207.55,0
207.9,0
208.25,0
208.6,0
