Time,Speed
134.05,4.550013
134.4,4.420383
134.75,4.342605
135.1,4.070382
135.45,3.75927
135.8,3.331491
136.15,2.98149
136.5,2.631489
136.85,2.268525
137.2,1.879635
137.55,1.55556
137.9,1.127781
138.25,0.700002
138.6,0.272223
138.95,0
139.3,0
139.65,0
140,0
140.35,0
140.7,0
141.05,0.337038
141.4,0.764817
141.75,1.192596
142.1,1.620375
142.45,2.048154
142.8,2.475933
143.15,2.903712
143.5,3.24075
143.85,3.318528
144.2,3.564825
144.55,3.75927
144.9,3.8889
145.25,3.901863
145.6,3.8889
145.95,3.850011
146.3,3.798159
146.65,3.733344
147,3.62964
147.35,3.24075
147.7,2.812971
148.05,2.385192
148.4,1.957413
148.75,1.529634
149.1,1.101855
149.45,0.674076
149.8,0.246297
150.15,0
150.5,0
150.85,0
151.2,0
151.55,0
151.9,0
152.25,0
152.6,0
152.95,0
153.3,0
153.65,0
154,0
154.35,0
154.7,0
155.05,0
155.4,0
155.75,0
156.1,0
156.45,0
156.8,0.427779
157.15,0.855558
157.5,1.283337
157.85,1.711116
158.2,2.138895
158.55,2.566674
158.9,2.994453
159.25,3.422232
159.6,3.603714
159.95,3.772233
160.3,4.083345
160.65,4.27779
161,4.355568
161.35,4.511124
161.7,4.550013
162.05,4.614828
162.4,4.679643
162.75,4.66668
163.1,4.679643
163.45,4.692606
163.8,4.66668
164.15,4.627791
164.5,4.66668
164.85,4.66668
165.2,4.614828
165.55,4.601865
165.9,4.588902
166.25,4.562976
166.6,4.562976
166.95,4.562976
167.3,4.562976
167.65,4.562976
168,4.562976
168.35,4.53705
168.7,4.550013
169.05,4.562976
169.4,4.601865
169.75,4.562976
170.1,4.53705
170.45,4.53705
170.8,4.53705
171.15,4.511124
171.5,4.485198
171.85,4.472235
172.2,4.342605
172.55,4.14816
172.9,3.901863
173.25,3.62964
173.6,3.305565
173.95,2.916675
174.3,2.566674
174.65,2.138895
175,1.711116
175.35,1.335189
175.7,0.933336
176.05,0.51852
176.4,0.12963
176.75,0
177.1,0
177.45,0
177.8,0
178.15,0
178.5,0
178.85,0.155556
179.2,0.453705
179.55,0.712965
179.9,0.842595
180.25,1.101855
180.6,1.244448
180.95,1.361115
181.3,1.542597
181.65,1.81482
182,2.07408
182.35,2.294451
182.7,2.46297
183.05,2.605563
183.4,2.72223
183.75,2.85186
184.1,2.98149
184.45,3.085194
184.8,3.175935
185.15,3.227787
185.5,3.24075
185.85,3.24075
186.2,3.24075
186.55,3.24075
186.9,3.24075
187.25,3.24075
187.6,3.318528
187.95,3.344454
188.3,3.37038
188.65,3.318528
189,3.266676
189.35,3.24075
189.7,3.24075
190.05,3.24075
190.4,3.162972
190.75,2.994453
191.1,2.566674
191.45,2.138895
191.8,1.711116
192.15,1.283337
192.5,0.855558
192.85,0.427779
193.2,0
193.55,0
193.9,0
194.25,0
194.6,0
194.95,0
195.3,0
195.65,0
196,0
196.35,0
196.7,0
197.05,0
197.4,0
197.75,0
198.1,0
198.45,0
198.8,0
199.15,0.427779
199.5,0.855558
199.85,1.283337
200.2,1.68519
200.55,1.892598
200.9,2.07408
201.25,2.20371
201.6,2.20371
201.95,2.20371
202.3,2.268525
202.65,2.294451
203,2.294451
203.35,2.268525
203.7,2.20371
204.05,2.190747
204.4,2.151858
204.75,2.20371
205.1,2.216673
205.45,2.20371
205.8,2.151858
206.15,2.138895
206.5,2.138895
206.85,2.151858
207.2,2.20371
207.55,2.281488
207.9,2.398155
208.25,2.488896
208.6,2.618526
208.95,2.72223
209.3,2.735193
209.65,2.748156
210,2.800008
210.35,2.85186
210.7,2.903712
211.05,2.916675
211.4,2.916675
211.75,2.916675
212.1,2.942601
212.45,3.072231
212.8,3.253713
213.15,3.37038
213.5,3.435195
213.85,3.50001
214.2,3.383343
214.55,2.955564
214.9,2.527785
215.25,2.100006
215.6,1.672227
215.95,1.244448
216.3,0.816669
216.65,0.38889
217,0
217.35,0
217.7,0
218.05,0
218.4,0
218.75,0
219.1,0
219.45,0
219.8,0
220.15,0
220.5,0
220.85,0
221.2,0
221.55,0
221.9,0
222.25,0
222.6,0
222.95,0
223.3,0
223.65,0
224,0
224.35,0
224.7,0
225.05,0
225.4,0
225.75,0
226.1,0.25926
226.45,0.583335
226.8,1.011114
227.15,1.322226
227.5,1.620375
227.85,1.81482
228.2,1.983339
228.55,2.268525
228.9,2.540748
229.25,2.72223
229.6,2.877786
229.95,3.020379
230.3,3.175935
230.65,3.279639
231,3.318528
231.35,3.37038
231.7,3.383343
232.05,3.396306
232.4,3.396306
232.75,3.422232
233.1,3.435195
233.45,3.435195
233.8,3.37038
234.15,3.305565
234.5,3.059268
234.85,2.774082
235.2,2.398155
235.55,2.125932
235.9,1.879635
236.25,1.503708
236.6,1.127781
236.95,0.751854
237.3,0.453705
237.65,0.25926
238,0
238.35,0
238.7,0
239.05,0
239.4,0
239.75,0
240.1,0
240.45,0
240.8,0
241.15,0
241.5,0
241.85,0
242.2,0
242.55,0
242.9,0.181482
243.25,0.427779
243.6,0.570372
243.95,0.842595
244.3,1.192596
244.65,1.464819
245,1.750005
245.35,1.892598
245.7,2.125932
246.05,2.164821
246.4,2.138895
246.75,2.138895
247.1,2.359266
247.45,2.488896
247.8,2.605563
248.15,2.787045
248.5,2.916675
248.85,2.916675
249.2,2.864823
249.55,2.942601
249.9,3.020379
250.25,3.046305
250.6,2.916675
250.95,2.800008
251.3,2.657415
251.65,2.33334
252,1.94445
252.35,1.55556
252.7,1.16667
253.05,0.803706
253.4,0.583335
253.75,0.38889
254.1,0.272223
254.45,0.064815
254.8,0.064815
255.15,0.414816
255.5,0.842595
255.85,1.244448
256.2,1.620375
256.55,1.81482
256.9,2.07408
257.25,2.33334
257.6,2.540748
257.95,2.787045
258.3,2.994453
258.65,3.175935
259,3.305565
259.35,3.435195
259.7,3.512973
260.05,3.577788
260.4,3.616677
260.75,3.668529
261.1,3.707418
261.45,3.707418
261.8,3.668529
262.15,3.655566
262.5,3.62964
262.85,3.564825
263.2,3.474084
263.55,3.305565
263.9,3.046305
264.25,2.787045
264.6,2.46297
264.95,2.138895
265.3,1.931487
265.65,1.620375
266,1.218522
266.35,0.803706
266.7,0.38889
267.05,0.194445
267.4,0.194445
267.75,0.064815
268.1,0
268.45,0.38889
268.8,0.816669
269.15,1.244448
269.5,1.672227
269.85,2.048154
270.2,2.268525
270.55,2.385192
270.9,2.527785
271.25,2.683341
271.6,2.85186
271.95,3.007416
272.3,3.24075
272.65,3.435195
273,3.564825
273.35,3.62964
273.7,3.668529
274.05,3.746307
274.4,3.746307
274.75,3.746307
275.1,3.733344
275.45,3.694455
275.8,3.668529
276.15,3.668529
276.5,3.668529
276.85,3.655566
277.2,3.577788
277.55,3.564825
277.9,3.564825
278.25,3.564825
278.6,3.564825
278.95,3.564825
279.3,3.564825
279.65,3.577788
280,3.62964
280.35,3.694455
280.7,3.8889
281.05,4.01853
281.4,4.14816
281.75,4.27779
282.1,4.27779
282.45,4.355568
282.8,4.40742
283.15,4.446309
283.5,4.433346
283.85,4.40742
284.2,4.40742
284.55,4.394457
284.9,4.355568
285.25,4.290753
285.6,4.27779
285.95,4.212975
286.3,4.14816
286.65,4.135197
287,4.096308
287.35,4.083345
287.7,3.966678
288.05,3.8889
288.4,3.875937
288.75,3.875937
289.1,3.875937
289.45,3.875937
289.8,3.837048
290.15,3.824085
290.5,3.824085
290.85,3.798159
291.2,3.746307
291.55,3.655566
291.9,3.590751
292.25,3.50001
292.6,3.305565
292.95,3.072231
293.3,2.85186
293.65,2.657415
294,2.488896
294.35,2.488896
294.7,2.605563
295.05,2.709267
295.4,2.774082
295.75,2.85186
296.1,2.929638
296.45,3.007416
296.8,3.11112
297.15,3.24075
297.5,3.37038
297.85,3.448158
298.2,3.448158
298.55,3.474084
298.9,3.50001
299.25,3.525936
299.6,3.603714
299.95,3.642603
300.3,3.733344
300.65,3.746307
301,3.75927
301.35,3.772233
301.7,3.75927
302.05,3.642603
302.4,3.564825
302.75,3.50001
303.1,3.344454
303.45,3.24075
303.8,3.175935
304.15,3.214824
304.5,3.253713
304.85,3.305565
305.2,3.331491
305.55,3.396306
305.9,3.487047
306.25,3.564825
306.6,3.603714
306.95,3.681492
307.3,3.75927
307.65,3.785196
308,3.772233
308.35,3.75927
308.7,3.746307
309.05,3.694455
309.4,3.642603
309.75,3.62964
310.1,3.62964
310.45,3.577788
310.8,3.525936
311.15,3.448158
311.5,3.50001
311.85,3.564825
312.2,3.603714
312.55,3.62964
312.9,3.603714
313.25,3.62964
313.6,3.62964
313.95,3.62964
314.3,3.590751
314.65,3.551862
315,3.487047
315.35,3.448158
315.7,3.435195
316.05,3.435195
316.4,3.435195
316.75,3.409269
317.1,3.396306
317.45,3.396306
317.8,3.357417
318.15,3.318528
318.5,3.318528
318.85,3.357417
319.2,3.344454
319.55,3.305565
319.9,3.188898
320.25,3.046305
320.6,2.877786
320.95,2.800008
321.3,2.800008
321.65,2.812971
322,2.929638
322.35,3.033342
322.7,3.11112
323.05,3.137046
323.4,3.162972
323.75,3.227787
324.1,3.253713
324.45,3.266676
324.8,3.279639
325.15,3.305565
325.5,3.266676
325.85,3.24075
326.2,3.24075
326.55,3.24075
326.9,3.201861
327.25,3.175935
327.6,3.150009
327.95,3.150009
328.3,3.175935
328.65,3.24075
329,3.24075
329.35,3.188898
329.7,3.188898
330.05,3.124083
330.4,3.175935
330.75,3.253713
331.1,3.318528
331.45,3.253713
331.8,3.11112
332.15,2.85186
332.5,2.605563
332.85,2.190747
333.2,1.762968
333.55,1.335189
333.9,0.90741
334.25,0.479631
334.6,0.051852
334.95,0
335.3,0
335.65,0
336,0.25926
336.35,0.687039
336.7,1.114818
337.05,1.542597
337.4,1.970376
337.75,2.268525
338.1,2.411118
338.45,2.5926
338.8,2.735193
339.15,2.85186
339.5,2.98149
339.85,3.175935
340.2,3.409269
340.55,3.564825
340.9,3.642603
341.25,3.681492
341.6,3.694455
341.95,3.694455
342.3,3.694455
342.65,3.590751
343,3.564825
343.35,3.525936
343.7,3.474084
344.05,3.435195
344.4,3.37038
344.75,3.331491
345.1,3.266676
345.45,3.11112
345.8,2.85186
346.15,2.787045
346.5,2.787045
346.85,2.825934
347.2,2.916675
347.55,2.98149
347.9,2.955564
348.25,2.955564
348.6,2.98149
348.95,2.942601
349.3,2.942601
349.65,2.942601
350,3.046305
350.35,3.11112
350.7,3.188898
351.05,3.214824
351.4,3.253713
351.75,3.305565
352.1,3.318528
352.45,3.305565
352.8,3.24075
353.15,3.124083
353.5,3.072231
353.85,3.007416
354.2,2.968527
354.55,2.916675
354.9,2.85186
355.25,2.800008
355.6,2.657415
355.95,2.268525
356.3,1.840746
356.65,1.412967
357,0.985188
357.35,0.557409
357.7,0.12963
358.05,0
358.4,0
358.75,0
359.1,0
359.45,0
359.8,0
360.15,0
360.5,0
360.85,0
361.2,0
361.55,0
361.9,0
362.25,0
362.6,0
362.95,0
363.3,0
363.65,0
364,0
364.35,0
364.7,0
365.05,0
365.4,0
365.75,0
366.1,0
366.45,0
366.8,0
367.15,0
367.5,0
367.85,0
368.2,0
368.55,0.155556
368.9,0.51852
369.25,0.946299
369.6,1.374078
369.95,1.801857
370.3,2.20371
370.65,2.398155
371,2.5926
371.35,2.825934
371.7,2.98149
372.05,3.11112
372.4,3.214824
372.75,3.318528
373.1,3.435195
373.45,3.474084
373.8,3.551862
374.15,3.616677
374.5,3.668529
374.85,3.62964
375.2,3.564825
375.55,3.50001
375.9,3.50001
376.25,3.409269
376.6,3.175935
376.95,2.916675
377.3,2.787045
377.65,2.670378
378,2.33334
378.35,1.94445
378.7,1.594449
379.05,1.438893
379.4,1.374078
379.75,1.2963
380.1,1.231485
380.45,1.179633
380.8,1.127781
381.15,1.114818
381.5,1.140744
381.85,1.16667
382.2,1.127781
382.55,1.114818
382.9,1.03704
383.25,0.90741
383.6,0.64815
383.95,0.544446
384.3,0.337038
384.65,0.12963
385,0
385.35,0.012963
385.7,0.077778
386.05,0.207408
386.4,0.466668
386.75,0.894447
387.1,1.2963
387.45,1.659264
387.8,1.81482
388.15,1.879635
388.5,2.07408
388.85,2.346303
389.2,2.5926
389.55,2.72223
389.9,2.748156
390.25,2.761119
390.6,2.774082
390.95,2.812971
391.3,2.916675
391.65,2.98149
392,3.085194
392.35,3.175935
392.7,3.24075
393.05,3.227787
393.4,3.214824
393.75,3.24075
394.1,3.292602
394.45,3.344454
394.8,3.37038
395.15,3.422232
395.5,3.448158
395.85,3.487047
396.2,3.50001
396.55,3.50001
396.9,3.50001
397.25,3.487047
397.6,3.474084
397.95,3.474084
398.3,3.435195
398.65,3.422232
399,3.37038
399.35,3.305565
399.7,3.188898
400.05,3.046305
400.4,2.787045
400.75,2.5926
401.1,2.268525
401.45,2.07408
401.8,1.81482
402.15,1.387041
402.5,0.959262
402.85,0.531483
403.2,0.103704
403.55,0
403.9,0
404.25,0
404.6,0
404.95,0
405.3,0
405.65,0
406,0
406.35,0
406.7,0
407.05,0
407.4,0
407.75,0
408.1,0
408.45,0
408.8,0
409.15,0.272223
409.5,0.700002
409.85,1.127781
410.2,1.55556
410.55,1.983339
410.9,2.411118
411.25,2.735193
411.6,2.98149
411.95,3.046305
412.3,2.98149
412.65,2.916675
413,2.5926
413.35,2.164821
413.7,1.737042
414.05,1.309263
414.4,0.881484
414.75,0.453705
415.1,0.025926
415.45,0
415.8,0
416.15,0
416.5,0
416.85,0
417.2,0
417.55,0
417.9,0
418.25,0
418.6,0
418.95,0.025926
419.3,0.194445
419.65,0.453705
420,0.842595
420.35,1.270374
420.7,1.55556
421.05,1.672227
421.4,1.68519
421.75,1.633338
422.1,1.659264
422.45,1.698153
422.8,1.698153
423.15,1.81482
423.5,2.009265
423.85,2.20371
424.2,2.411118
424.55,2.553711
424.9,2.72223
425.25,2.787045
425.6,2.825934
425.95,2.825934
426.3,2.787045
426.65,2.748156
427,2.787045
427.35,2.825934
427.7,2.85186
428.05,2.838897
428.4,2.812971
428.75,2.787045
429.1,2.787045
429.45,2.774082
429.8,2.605563
430.15,2.527785
430.5,2.488896
430.85,2.540748
431.2,2.566674
431.55,2.5926
431.9,2.527785
432.25,2.268525
432.6,2.009265
432.95,1.68519
433.3,1.2963
433.65,1.03704
434,0.77778
434.35,0.51852
434.7,0.324075
435.05,0.090741
435.4,0
435.75,0
436.1,0
436.45,0
436.8,0
437.15,0
437.5,0
437.85,0
438.2,0.12963
438.55,0.12963
438.9,0.12963
439.25,0.12963
439.6,0.12963
439.95,0.207408
440.3,0.38889
440.65,0.51852
441,0.64815
441.35,0.816669
441.7,1.03704
442.05,1.2963
442.4,1.361115
442.75,1.231485
443.1,1.101855
443.45,0.985188
443.8,1.140744
444.15,1.42593
444.5,1.81482
444.85,2.20371
445.2,2.527785
445.55,2.72223
445.9,2.825934
446.25,2.877786
446.6,2.98149
446.95,3.059268
447.3,3.124083
447.65,3.175935
448,3.175935
448.35,3.11112
448.7,3.046305
449.05,3.046305
449.4,3.046305
449.75,3.046305
450.1,3.046305
450.45,3.046305
450.8,3.11112
451.15,3.124083
451.5,3.175935
451.85,3.201861
452.2,3.24075
452.55,3.292602
452.9,3.318528
453.25,3.331491
453.6,3.37038
453.95,3.396306
454.3,3.50001
454.65,3.603714
455,3.668529
455.35,3.75927
455.7,3.772233
456.05,3.75927
